통계표명:,국내총생산 및 경제성장률,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
단위:,"십억원, 전년동기비 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
국내총생산(명목GDP),"2,796.60","3,438.00","4,267.70","5,527.30","7,905.00","10,543.60","14,472.80","18,608.10","25,154.50","32,402.30","39,725.10","49,669.80","57,286.60","68,080.10","78,591.30","88,129.70","102,985.80","121,697.80","145,994.70","165,801.80","200,556.20","242,481.10","277,540.80","315,181.30","372,493.40","436,988.80","490,850.90","542,001.80","537,215.30","591,453.00","651,634.40","707,021.30","784,741.30","837,365.00","908,439.20","957,447.80","1,005,601.50","1,089,660.20","1,154,216.50","1,205,347.70","1,322,611.20","1,388,937.20","1,440,111.40","1,500,819.10","1,562,928.90","1,658,020.40","1,740,779.60","1,835,698.20","1,898,192.60","1,924,498.10","1,940,726.20","2,071,658.00","2,150,575.80"
경제성장률(실질GDP성장률),10.1,10.5,7.2,14.9,9.5,7.8,13.2,12.3,11,8.7,-1.6,7.2,8.3,13.4,10.6,7.8,11.3,12.7,12,7.1,9.9,10.8,6.2,6.9,9.3,9.6,7.9,6.2,-5.1,11.5,9.1,4.9,7.7,3.1,5.2,4.3,5.3,5.8,3,0.8,6.8,3.7,2.4,3.2,3.2,2.8,2.9,3.2,2.9,2.2,-0.7,4.1,2.6
출처:,한국은행「국민소득」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주석:,"* 국민총생산(명목, 시장가격)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"* 실질GDP, 실질성장률은 발표시기(한국은행, GDP속보치 발표)와 명목GDP, 명목소득 증감률의 발표시기(한국은행, GDP잠정치 발표)가 차이가 있어 국내총생산(명목GDP)과 경제성장률(실질성장률) 업데이트 시기가 다름",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
