K-stat 무역통계 - 한국무역협회,,,,,,,,
"품목 : HSK 271012  ,  당월/누계 : 누계  ,  단위 : 금액 - 천불, 중량 - Kg, 증감률 - %",,,,,,,,
년월,수출,수출,수출,수출,수입,수입,수입,수입
년월,금액,증감률,중량,증감률,금액,증감률,중량,증감률
2019년,"9,491,058",-10.8,"16,197,580,266",1.7,"13,798,713",-13.4,"26,068,228,730",4.3
…1월,"769,804",-15.5,"1,482,207,812",7.2,"1,044,710",-9.4,"2,093,797,506",10.1
…2월,"1,484,891",-10.4,"2,759,415,219",8.0,"1,890,290",-22.3,"3,814,018,563",-4.5
…3월,"2,230,071",-5.9,"3,985,621,063",8.5,"2,803,889",-22.5,"5,543,517,771",-8.4
…4월,"3,180,451",-7.2,"5,472,609,445",4.3,"3,941,763",-16.0,"7,574,214,579",-3.9
…5월,"3,951,411",-7.0,"6,745,946,536",5.5,"5,266,462",-12.7,"9,816,057,293",-2.0
…6월,"4,692,514",-9.3,"8,083,175,101",4.8,"6,472,448",-12.7,"11,953,672,667",-0.8
…7월,"5,528,573",-6.6,"9,517,522,488",8.3,"7,668,788",-14.6,"14,329,644,542",-0.5
…8월,"6,384,278",-6.9,"11,034,742,613",9.1,"9,058,903",-13.3,"17,009,879,693",2.5
…9월,"7,143,221",-9.6,"12,344,477,155",7.1,"10,147,409",-14.5,"19,272,563,794",2.9
…10월,"7,832,744",-12.3,"13,497,594,038",4.2,"11,215,501",-15.4,"21,377,337,515",3.2
…11월,"8,600,505",-13.4,"14,769,249,181",1.3,"12,376,104",-16.0,"23,545,705,566",3.0
…12월,"9,491,058",-10.8,"16,197,580,266",1.7,"13,798,713",-13.4,"26,068,228,730",4.3
2018년,"10,643,889",29.3,"15,931,059,539",7.0,"15,933,904",43.3,"25,001,531,235",10.6
…1월,"910,909",20.7,"1,382,207,786",2.3,"1,152,556",45.1,"1,902,434,982",15.5
…2월,"1,656,866",10.5,"2,554,299,689",-4.1,"2,433,223",39.9,"3,995,812,809",14.4
…3월,"2,370,822",4.7,"3,672,092,430",-10.2,"3,619,469",30.7,"6,055,152,531",10.6
…4월,"3,428,790",17.9,"5,245,976,105",-0.3,"4,692,328",28.8,"7,877,805,244",8.1
…5월,"4,250,212",19.9,"6,391,997,241",-1.7,"6,029,604",32.0,"10,018,325,793",8.8
…6월,"5,174,170",27.9,"7,713,586,979",2.4,"7,410,164",34.7,"12,047,093,861",7.0
…7월,"5,919,548",27.5,"8,784,704,788",0.4,"8,976,259",42.1,"14,405,713,624",9.3
…8월,"6,856,221",30.3,"10,115,568,432",1.9,"10,445,802",47.8,"16,603,057,613",11.3
…9월,"7,897,508",32.2,"11,528,527,516",3.0,"11,866,679",45.8,"18,727,487,389",9.1
…10월,"8,926,852",35.0,"12,953,847,543",5.3,"13,253,959",45.7,"20,713,214,331",8.8
…11월,"9,935,136",32.8,"14,579,907,842",6.4,"14,727,028",45.9,"22,850,775,883",9.5
…12월,"10,643,889",29.3,"15,931,059,539",7.0,"15,933,904",43.3,"25,001,531,235",10.6
2017년,"8,230,703",25.8,"14,890,276,841",0.6,"11,120,896",22.6,"22,607,888,110",-0.2
…1월,"754,914",49.4,"1,350,883,961",7.2,"794,186",-7.8,"1,647,455,915",-17.7
…2월,"1,499,227",53.8,"2,664,374,393",3.5,"1,739,486",19.2,"3,493,395,317",-4.1
…3월,"2,264,791",55.6,"4,089,948,018",9.3,"2,770,043",34.1,"5,473,457,199",-0.6
…4월,"2,907,126",38.0,"5,264,026,994",0.6,"3,642,330",34.3,"7,289,738,540",0.6
…5월,"3,543,458",35.7,"6,503,976,743",2.9,"4,568,968",32.2,"9,209,218,684",1.1
…6월,"4,044,761",26.6,"7,532,529,461",-0.2,"5,500,417",31.3,"11,256,102,533",3.6
…7월,"4,644,277",21.2,"8,751,619,949",-3.1,"6,317,634",25.4,"13,181,284,827",2.5
…8월,"5,260,030",23.6,"9,931,598,588",-0.9,"7,068,345",20.4,"14,915,241,872",-0.4
…9월,"5,975,497",23.8,"11,194,649,917",-0.9,"8,136,942",23.2,"17,166,519,936",1.5
…10월,"6,610,339",23.3,"12,300,969,769",-1.0,"9,094,583",23.8,"19,030,091,213",1.5
…11월,"7,481,843",26.5,"13,702,364,399",0.9,"10,091,763",23.5,"20,873,235,632",1.2
…12월,"8,230,703",25.8,"14,890,276,841",0.6,"11,120,896",22.6,"22,607,888,110",-0.2
2016년,"6,540,865",-16.9,"14,797,717,251",3.1,"9,074,193",-22.6,"22,658,519,870",-2.0
…1월,"505,173",-14.0,"1,260,504,049",7.0,"861,354",-26.7,"2,001,218,770",-7.1
…2월,"974,885",-16.4,"2,575,073,215",15.3,"1,458,909",-30.3,"3,641,399,544",-12.6
…3월,"1,455,061",-20.9,"3,741,613,386",11.2,"2,064,922",-32.1,"5,508,518,075",-7.7
…4월,"2,106,161",-15.7,"5,232,648,010",17.8,"2,712,729",-32.2,"7,247,250,184",-6.4
