K-stat 무역통계 - 한국무역협회,,,,,,,,
"품목 : HSK 271019  ,  당월/누계 : 누계  ,  단위 : 금액 - 천불, 중량 - Kg, 증감률 - %",,,,,,,,
년월,수출,수출,수출,수출,수입,수입,수입,수입
년월,금액,증감률,중량,증감률,금액,증감률,중량,증감률
…2월,"4,864,674",-2.8,"8,432,052,007",3.3,"604,940",-21.1,"1,197,916,020",-26.4
…3월,"7,040,853",-2.5,"11,962,433,223",1.3,"799,434",-29.2,"1,547,175,907",-36
…4월,"9,837,163",-1.5,"16,377,759,307",2.1,"960,128",-35.5,"1,832,123,063",-42.1
…5월,"12,436,581",-3.9,"20,485,364,643",1,"1,322,520",-29.7,"2,539,583,046",-35.6
…6월,"14,601,953",-8.5,"24,129,046,294",-2.3,"1,603,227",-32,"3,124,303,396",-35.3
…7월,"17,204,284",-9.4,"28,400,914,986",-2.7,"1,971,009",-27.2,"3,867,544,461",-29.2
…8월,"19,795,300",-10.7,"32,798,589,558",-3.1,"2,349,263",-26.9,"4,647,775,371",-26.8
…9월,"22,428,017",-11.1,"37,153,505,735",-2.6,"2,701,532",-28.1,"5,391,495,916",-26.6
…10월,"24,936,084",-12.7,"41,426,490,801",-2.9,"2,923,352",-30.3,"5,811,110,330",-28.4
…11월,"27,489,546",-12.3,"45,774,914,328",-2.5,"3,050,238",-34.7,"6,041,089,556",-32.5
…12월,"29,780,916",-12.6,"49,624,874,588",-3.9,"3,397,729",-33.2,"6,832,074,306",-30
2018년,"34,063,347",34.6,"51,613,493,189",6.9,"5,086,038",42.6,"9,758,118,012",13.5
…1월,"2,580,297",34,"4,177,126,254",12.4,"391,219",27.9,"839,345,460",13
…2월,"5,005,558",25.6,"8,166,056,529",7.5,"766,963",18.7,"1,628,519,336",3.3
…3월,"7,222,525",18.4,"11,805,383,689",0.2,"1,128,793",19.5,"2,415,583,401",7.8
…4월,"9,982,322",27,"16,036,212,483",6,"1,487,558",15.1,"3,162,468,030",0.8
…5월,"12,944,934",31,"20,290,837,063",5.7,"1,881,282",16.6,"3,945,383,169",0.1
…6월,"15,953,811",36.5,"24,703,099,591",7.8,"2,356,053",27.5,"4,830,869,500",7.2
…7월,"18,993,836",38.7,"29,194,323,609",8.2,"2,707,584",33.2,"5,459,933,380",9.9
…8월,"22,161,881",40.1,"33,846,100,821",8.5,"3,213,300",40.6,"6,345,729,634",13.5
