단위: 백만불,2019,2020,2021,2022,2023
1위. 원유,70252,50283,67013,105964,86158
2위. 반도체,47032,44456,61391,74786,62371
3위. 천연가스,20567,17039,25737,50022,36049
4위. 정밀화학원료,17539,15716,25453,28332,25038
5위. 석유제품,14209,13210,24085,26711,23162
6위. 반도체제조용장비,13626,13074,16551,25132,20904
7위. 석탄,11986,12954,15588,23170,20178
8위. 자동차,11345,12952,14699,16354,15865
9위. 컴퓨터,11334,10642,14575,15372,13202
10위. 무선통신기기,10891,9599,14250,14083,12735
